HPI,GDP,Continent,year
39.86493361,14950.07,S.Africa,2019
39.64587173,5212.56,S.Africa,2019
39.60313347,3958.47,S.Africa,2019
39.52473405,5412.63,S.Africa,2019
39.34192686,2321.59,S.Africa,2019
39.23448403,2226.86,S.Africa,2019
38.70654232,1059.72,S.Africa,2019
34.41091087,3470.45,S.Africa,2019
34.13821364,5135.5,S.Africa,2019
31.85112214,17766.54,S.Africa,2019
30.36278983,1579.63,S.Africa,2019
48.46616829,22208.14,S.Africa,2018
46.03607262,3314.79,S.Africa,2018
48.75799677,3906.94,S.Africa,2018
39.08039625,1497,S.Africa,2018
45.1485644,4203.8,S.Africa,2018
40.1912495,2122.26,S.Africa,2018
41.5696699,1289.74,S.Africa,2018
41.88067184,1613.1,S.Africa,2018
38.058437,3066.84,S.Africa,2018
43.22297012,2103.51,S.Africa,2018
42.26598534,2120.32,S.Africa,2018
46.26491601,3160.78,S.Africa,2018
41.90897353,1200.97,S.Africa,2018
41.46230101,3603.55,S.Africa,2018
39.29790813,14744.43,S.Africa,2018
39.08015845,5033.48,S.Africa,2018
39.68537151,5194.44,S.Africa,2018
35.66796942,2283.71,S.Africa,2018
41.10205847,2088.75,S.Africa,2018
34.71630124,1042.53,S.Africa,2018
40.86355159,2495.97,S.Africa,2018
37.35026949,761.52,S.Africa,2018
36.22690094,1552.86,S.Africa,2018
38.99215665,3521.52,S.Africa,2018
38.90693084,5155.07,S.Africa,2018
31.51073757,17634.19,S.Africa,2018
31.48851121,1576.32,S.Africa,2018
33.61343409,1663.29,S.Africa,2018
34.24830484,3130.03,S.Africa,2018
49.97634013,21415.12,S.Africa,2017
45.35825605,3203.9,S.Africa,2017
44.57206784,4274.3,S.Africa,2017
40.73527933,1515.64,S.Africa,2017
43.73543251,4046.21,S.Africa,2017
37.69692522,2074.86,S.Africa,2017
38.3428658,1283.66,S.Africa,2017
41.70496943,1584.42,S.Africa,2017
41.60349911,2021.56,S.Africa,2017
40.1603322,2044.38,S.Africa,2017
40.21962056,3044.51,S.Africa,2017
38.32558134,1163.68,S.Africa,2017
39.36733655,1059.81,S.Africa,2017
40.18398452,3554.53,S.Africa,2017
39.48938701,15006.76,S.Africa,2017
37.97278871,4830.75,S.Africa,2017
42.55938534,4996.64,S.Africa,2017
37.3662321,2246.8,S.Africa,2017
37.36791393,1975.25,S.Africa,2017
35.07855368,1037.55,S.Africa,2017
38.63546408,2417.8,S.Africa,2017
35.69475221,773.57,S.Africa,2017
38.29398876,1516.53,S.Africa,2017
34.15789107,2530.44,S.Africa,2017
35.85611864,10050.5,S.Africa,2017
32.57705319,12701.35,S.Africa,2017
37.34564725,5077.2,S.Africa,2017
37.99429004,3485.01,S.Africa,2017
39.11294842,5190.35,S.Africa,2017
31.49326747,17253.28,S.Africa,2017
31.76874686,1587.03,S.Africa,2017
32.13759895,1642.61,S.Africa,2017
34.21260457,3028.25,S.Africa,2017
